university_name,university_code,onboarding_date,user_count
Medizinische Hochschule Hannover (MHH),de_mhha,1900-01-01,0
Brand University of Applied Sciences,de_ba,1900-01-01,0
Hochschule für Grafik und Buchkunst Leipzig,de_hgbl,1900-01-01,0
Hochschule des Bundes für öffentliche Verwaltung – Fachbereich Bundeswehrverwaltung,de_hsb_bwv,2021-01-27,800
Hochschule für Technik und Wirtschaft Berlin,de_htwb,2020-04-16,14156
EBS Universität für Wirtschaft und Recht,de_ebswr,1900-01-01,0
Hochschule RheinMain,de_hsrm,2024-11-01,12271
Europäische Fernhochschule Hamburg,de_efh,1900-01-01,0
Test Uni,de_ex,1900-01-01,1000
TH Aschaffenburg,de_hsab,2023-12-15,3778
Demo Universität,de_test,2016-03-01,40
Technische Universität Chemnitz,de_tuc,2025-12-02,7932
Universität Münster,de_wum,1900-01-01,0
accadis Hochschule Bad Homburg,de_ahbh,1900-01-01,0
Technische Hochschule Köln,de_thk,1900-01-01,0
Technische Hochschule Ingolstadt,de_thi,1900-01-01,0
Johannes Gutenberg-Universität Mainz,de_jgu,1900-01-01,0
Frankfurt University of Applied Sciences,de_fhf,1900-01-01,0
Technische Universität Dresden,de_tud,1900-01-01,0
Hochschule Bochum - University of Applied Sciences,de_hsbo,1900-01-01,0
Hochschule Emden/Leer,de_hsel,1900-01-01,0
Test Universität,de_staging,2024-08-01,0
PFH - Private Hochschule Göttingen,de_pfhg,1900-01-01,0
Technische Universität Dortmund,de_tudo,1900-01-01,0
Universität des Saarlandes,de_usal,1900-01-01,0
Friedrich-Alexander-Universität Erlangen-Nürnberg,de_fauen,1900-01-01,0
"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit",de_hfu,1900-01-01,0
Hochschule für angewandte Wissenschaften Neu-Ulm,de_hsnu,1900-01-01,0
SRH Berlin University of Applied Sciences,de_hdpk,1900-01-01,0
Thüringische Verwaltungs- und Wirtschafts-Akademie Erfurt,de_vwae,2022-07-11,200
Universität Hamburg,de_uh,1900-01-01,0
Fachhochschule Aachen,de_fhac,1900-01-01,0
Evangelische Hochschule Ludwigsburg,de_ehl,2023-03-15,1269
Universität Basel,ch_ub,2023-05-01,12896
Hochschule Osnabrück,de_hsos,1900-01-01,0
Universität Rostock,de_hro,1900-01-01,0
Hochschule für Technik und Wirtschaft Dresden  – University of Applied Sciences,de_htwd,1900-01-01,0
Humboldt-Universität zu Berlin,de_hub,1900-01-01,0
Georg-August-Universität Göttingen,de_gaug,1900-01-01,0
Martin-Luther-Universität Halle-Wittenberg,de_mlu,1900-01-01,0
Hochschule für Musik Würzburg,de_hmwb,1900-01-01,0
Hochschule Rhein-Waal - University of Applied Sciences,de_hsrw,1900-01-01,0
Technische Hochschule Lübeck,de_fhlb,1900-01-01,0
Universität Ulm,de_uul,1900-01-01,0
Eberhard Karls Universität Tübingen,de_ekut,1900-01-01,0
Freie Universität Berlin,de_fub,1900-01-01,0
"Hochschule Mittweida, University of Applied Sciences",de_hsmw,1900-01-01,0
Bergische Universität Wuppertal,de_buw,1900-01-01,0
Ruhr-Universität Bochum,de_rub,1900-01-01,0
Pädagogische Hochschule Freiburg,de_phfr,1900-01-01,0
Pädagogische Hochschule Karlsruhe,de_phka,1900-01-01,0
Friedrich-Schiller-Universität Jena,de_fsu,1900-01-01,0
Hochschule Merseburg,de_hsmb,2025-12-01,3059
"Hochschule für Musik und Theater ""Felix Mendelssohn Bartholdy"" Leipzig",de_hmtl,1900-01-01,0
"Johann Wolfgang Goethe-Universität, Frankfurt am Main",de_gufm,1900-01-01,0
Hochschule für Musik Franz Liszt Weimar,de_hfmw,1900-01-01,0
"Hochschule Bonn-Rhein-Sieg, University of Applied Sciences",de_hsbrs,1900-01-01,0
Hochschule Bielefeld – University of Applied Sciences and Arts (HSBI),de_fhbi,1900-01-01,0
"Katholische    Stiftungshochschule für   angewandte Wissenschaften München - Hochschule der Kirchlichen Stiftung des öffentlichen Rechts ""Katholische Bildungsstätten für Sozialberufe in Bayern""",de_ksh,1900-01-01,0
University of Labour,de_uol,1900-01-01,0
Hochschule Hamm-Lippstadt,de_hshl,1900-01-01,0
Hochschule Fresenius,de_hsf,1900-01-01,0
Hochschule Niederrhein,de_hsn,1900-01-01,0
Technische Hochschule Nürnberg Georg Simon Ohm,de_thn,1900-01-01,0
Evangelische Hochschule für Soziale Arbeit & Diakonie,de_evhhh,1900-01-01,0
WHU - Otto Beisheim School of Management,de_whu,1900-01-01,0
ESCP Europe Wirtschaftshochschule Berlin e.V.,de_ewb,1900-01-01,0
Technische Universität Hamburg,de_tuhh,1900-01-01,0
Bauhaus-Universität Weimar,de_bhuw,1900-01-01,0
Technische Hochschule Ostwestfalen-Lippe,de_howl,1900-01-01,0
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,de_hsuh,1900-01-01,0
Hochschule für Wirtschaft und Recht Berlin,de_hwrb,1900-01-01,0
Verwaltungs- und Wirtschaftsakademie Mecklenburg-Vorpommern,de_vwamv,2022-12-15,120
Technische Hochschule Rosenheim,de_fhrh,1900-01-01,0
Westsächsische Hochschule Zwickau,de_whz,1900-01-01,2953
Uni Münster - Fakultät WiWi (Demo),de_wum_wiwi,2022-02-22,0
Technische Universität Darmstadt (Test),de_tuda_testing,2023-11-15,0
Fachhochschule Dresden,de_fhdr,2022-12-01,523
IB Hochschule für Gesundheit und Soziales,de_ibh,2021-01-11,512
Leuphana Universität Lüneburg,de_lg,2024-02-01,9268
Technische Hochschule Deggendorf,de_thdeg,2025-05-15,8854
Hochschule der Bundesagentur für Arbeit,de_hba,2022-02-16,1514
Otto-von-Guericke-Universität Magdeburg,de_ovgu,2018-07-30,12490
Hochschule Zittau/Görlitz,de_hszg,2023-03-31,2532
Hochschule für Angewandte Wissenschaften Hamburg,de_haw,1900-01-01,0
Universität Siegen,de_si,2023-12-01,15186
Fachhochschule Kiel,de_fhki,2024-02-15,7670
Hochschule Offenburg,de_fhog,2021-12-08,3656
Christian-Albrechts-Universität zu Kiel,de_cau,1900-01-01,0
Universität Paderborn,de_upb,2023-08-15,17159
"Katholische Hochschule Freiburg, staatlich anerkannte Hochschule - Catholic University of Applied Sciences",de_khf,1900-01-01,0
CBS International Business School,de_cbs,2023-02-01,2185
Duale Hochschule Baden-Württemberg,de_dhbw,2024-07-01,7437
TU Darmstadt,de_tuda,2023-11-15,24008
Katholische Hochschule Mainz,de_khm,2021-07-17,1396
Hochschule Darmstadt,de_hsda,2023-12-15,15474
Katholische Hochschule für Sozialwesen Berlin,de_khb,2023-09-01,1219
Katholische Universität Eichstätt-Ingolstadt,de_kuei,2023-02-16,4800
Universität Greifswald,de_emau,2022-03-25,10296
"Hochschule Konstanz Technik, Wirtschaft und Gestaltung",de_fhko,1900-01-01,0
Hochschule für öffentliche Verwaltung Kehl,de_hvk,2022-06-01,1421
Hochschule für Gestaltung Offenbach am Main,de_hgo,2023-08-15,795
Diploma Hochschule,de_dipl,2022-09-16,7775
Hochschule München,de_hm,2022-05-16,18107
Hochschule Geisenheim,de_hsgh,2023-09-01,1723
Universität Kassel,de_ks,2023-06-01,21791
Hochschule Ruhr West- University of Applied Sciences,de_hrw,1900-01-01,0
"Hochschule Wismar - University of Applied Sciences: Technology, Business and Design",de_hswis,1900-01-01,0
Hochschule Trier - Trier University of Applied Sciences,de_hstr,1900-01-01,0
Otto-Friedrich-Universität Bamberg,de_uba,1900-01-01,0
Wilhelm Büchner Hochschule - Private Fernhochschule Darmstadt,de_wbh,1900-01-01,0
Universität Duisburg-Essen,de_ude,1900-01-01,0
Universität Potsdam,de_up,1900-01-01,0
Technische Hochschule Würzburg-Schweinfurt,de_fhws,1900-01-01,0
Hochschule Hannover,de_hsh,1900-01-01,0
Berliner Hochschule für Technik,de_bhtb,1900-01-01,0
Technische Universität Ilmenau,de_tuil,1900-01-01,0
APOLLON Hochschule der Gesundheitswirtschaft,de_ahg,1900-01-01,0
Hochschule Ravensburg-Weingarten,de_hsraw,1900-01-01,0
Hochschule für angewandte Wissenschaften Hof,de_hawh,1900-01-01,0
DHGS Deutsche Hochschule für Gesundheit und Sport,de_dhgs,1900-01-01,0
Gottfried Wilhelm Leibniz Universität Hannover,de_luh,1900-01-01,0
Fachhochschule Wedel,de_fhw,1900-01-01,0
HSD Hochschule Döpfer,de_hsd,1900-01-01,0
Universität Vechta,de_uve,1900-01-01,0
Ostbayerische Technische Hochschule Amberg-Weiden,de_othaw,1900-01-01,0
Carl von Ossietzky Universität Oldenburg,de_uold,1900-01-01,0
Heinrich-Heine-Universität Düsseldorf,de_hhu,1900-01-01,0
Universität Augsburg,de_ua,2023-09-01,19089
Justus-Liebig-Universität Gießen,de_jlug,2022-10-10,25461
Hochschule Flensburg,de_hsfb,2023-06-01,3135
Hochschule Coburg,de_hsco,2023-02-15,4648
Technische Universität Clausthal,de_tucl,2022-08-08,2753
Universität zu Lübeck,de_ul,2013-11-15,5958
Pädagogische Hochschule Schwäbisch Gmünd,de_phsg,2022-07-25,2531
FH Erfurt,de_fhef,2023-05-01,4268
Northern Business School,de_nbs,2022-03-07,914
Universität Marburg,de_pum,2024-05-01,21237
Universität Bonn,de_fwub,2023-11-15,34630
Hochschule Aalen,de_hsaa,2021-12-23,4559
Universität Regensburg,de_ur,2021-10-14,20353
Hochschule Neubrandenburg,de_hsnb,2020-06-23,2082
Hochschule Nordhausen,de_hsnd,2022-03-31,2035
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,de_hfwu,2020-09-25,5066
Pädagogische Hochschule Ludwigsburg,de_phlb,2020-05-22,5988
Technische Hochschule Ulm,de_hsu,2020-09-18,2966
Hochschule der Medien Stuttgart,de_hdm,2020-02-14,5513
Hochschule Ansbach,de_hsan,2021-06-08,3898
Hochschule Albstadt-Sigmaringen,de_hsas,2021-09-01,2666
"Merz Akademie, Hochschule für Gestaltung, Kunst und Medien Stuttgart",de_ma,2021-05-26,245
Universität Erfurt,de_ef,1900-01-01,0
Universität Hohenheim,de_ush,2019-01-17,8482
Jade Hochschule - Wilhelmshaven/Oldenburg/Elsfleth,de_fhja,2020-07-31,6139
Hochschule Bremen,de_hshb,2024-07-01,8757
Universität Osnabrück,de_uos,1900-01-01,0
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,de_hslu,2020-07-22,4400
Hochschule Pforzheim,de_hspf,2020-09-25,5659
Private Universität Witten/Herdecke,de_uwh,2021-09-27,3126
International School of Management,de_ism,2019-08-07,3444
Hochschule Mannheim,de_hsma,2019-04-30,5034
Hochschule Koblenz,de_hsko,2021-11-02,8992
Hochschule für Technik Stuttgart,de_hfts,2019-11-21,3983
Hochschule für Forstwirtschaft Rottenburg,de_hfr,2020-04-07,898
Universität zu Köln,de_uk,1900-01-01,0
Universität Bielefeld,de_ubi,1900-01-01,0
Hochschule Schmalkalden,de_hssk,1900-01-01,0
Hochschule Kaiserslautern (University of Applied Sciences),de_kl,1900-01-01,0
Rheinisch-Westfälische Technische Hochschule Aachen,de_rwtha,1900-01-01,0
Technische Hochschule Brandenburg,de_thb,1900-01-01,0
Universität Bremen,de_hb,1900-01-01,0
Rheinische Fachhochschule Köln,de_rfhk,1900-01-01,0
Ostbayerische Technische Hochschule Regensburg,de_oth,1900-01-01,0
HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,de_hawk,1900-01-01,0
Technische Universität Berlin,de_tub,1900-01-01,0
Hochschule Düsseldorf,de_fhd,1900-01-01,0
SRH Hochschule Heidelberg - Staatlich anerkannte Fachhochschule,de_srhhd,1900-01-01,0
Akademie der Bildenden Künste München,de_adbkm,1900-01-01,0
Universität Leipzig,de_aml,1900-01-01,0
Fachhochschule des Mittelstands (FHM),de_fhm,1900-01-01,0
Brandenburgische Technische Universität Cottbus-Senftenberg,de_btu,1900-01-01,0
Universität Passau,de_pa,1900-01-01,0
Ludwig-Maximilians-Universität München,de_lmum,1900-01-01,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,de_tubs,1900-01-01,0
Ruprecht-Karls-Universität Heidelberg,de_rkuh,1900-01-01,0
"Bard College Berlin, A Liberal Arts University",de_bcb,1900-01-01,0
Technische Hochschule Wildau,de_thw,1900-01-01,0
Hochschule für angewandte Wissenschaften Kempten,de_fhke,1900-01-01,0
Hochschule Esslingen,de_es,1900-01-01,0
Hochschule für angewandte Wissenschaften Landshut,de_hawl,2020-06-29,4674
Hochschule für nachhaltige Entwicklung Eberswalde,de_hnee,2024-02-01,2323
Universität Koblenz,de_ukl,2020-09-30,9485
Muthesius Kunsthochschule,de_mkk,2023-07-15,541
Hochschule Worms,de_fhwo,2021-06-24,3192
Fachhochschule Südwestfalen,de_fhswf,2021-01-20,10995
Hochschule Stralsund,de_fhst,2020-11-05,2268
FH Münster,de_fhms,2021-06-28,14188
Universität Stuttgart,de_us,2021-08-10,20620
Hochschule Mainz,de_hsmz,2020-09-07,5498
IST-Hochschule für Management,de_ist,1900-01-01,0
Technische Hochschule Bingen,de_thbi,2021-10-11,2433
"HMKW Hochschule für Medien, Kommunikation und Wirtschaft",de_hmkw,1900-01-01,0
Universität Mannheim,de_uma,1900-01-01,0
Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens,de_ehkd,1900-01-01,0
Karlsruher Institut für Technologie,de_kit,1900-01-01,0
Quadriga Hochschule Berlin,de_qhb,1900-01-01,0
Theologische Hochschule Reutlingen - staatlich anerkannte Fachhochschule der Evangelisch-methodistischen Kirche,de_thr,1900-01-01,0
Hochschule für Gesundheit - University of Applied Sciences,de_hsgb,1900-01-01,0
Fachhochschule der Diakonie - Diaconia - University of Applied Sciences,de_fhdb,1900-01-01,0
"Zeppelin Universität - Hochschule zwischen Wirtschaft, Kultur und Politik",de_zu,1900-01-01,0
Technische Hochschule Augsburg,de_hsah,1900-01-01,0
DIU - Dresden International University GmbH,de_diu,1900-01-01,0
Palucca Hochschule für Tanz Dresden,de_phtd,1900-01-01,0
Filmuniversität Babelsberg Konrad Wolf,de_fubb,1900-01-01,0
Hochschule für Bildende Künste Braunschweig,de_hbkb,1900-01-01,0
Folkwang Universität der Künste,de_fuke,1900-01-01,0
Mediadesign Hochschule für Design und Informatik,de_mdh,1900-01-01,0
Universität Trier,de_utr,1900-01-01,0
Gisma University of Applied Sciences,de_gisma,1900-01-01,0
Hochschule für Gestaltung Schwäbisch Gmünd,de_hgsg,1900-01-01,0
Internationale Hochschule SDI München - Hochschule für angewandte Wissenschaften,de_sdim,1900-01-01,0
Alice Salomon Hochschule Berlin,de_ashb,1900-01-01,0
Hochschule für Musik und Tanz Köln,de_hmtk,1900-01-01,0
Hochschule für Fernsehen und Film München,de_hff,1900-01-01,0
Hochschule für Musik Saar,de_hms,1900-01-01,0
Staatliche Hochschule für Musik und Darstellende Kunst Mannheim,de_mhm,1900-01-01,0
Pädagogische Hochschule Heidelberg,de_phh,1900-01-01,0
Hochschule für Musik und Theater München,de_hmtm,1900-01-01,0
Technische Hochschule Georg Agricola,de_thga,1900-01-01,0
Akkon-Hochschule,de_ahh,1900-01-01,0
FernUniversität in Hagen,de_ha,1900-01-01,0
Hertie School,de_hsg,1900-01-01,0
Evangelische Hochschule Dresden,de_ehsd,1900-01-01,0
Hochschule der Bildenden Künste Saar,de_hbks,1900-01-01,0
HafenCity Universität Hamburg,de_hcuh,1900-01-01,0
Burg Giebichenstein Kunsthochschule Halle,de_bgkh,1900-01-01,0
Deutsche Sporthochschule Köln,de_dshs,1900-01-01,0
Hochschule für Musik Carl Maria von Weber Dresden,de_hmdd,1900-01-01,0
"Hochschule für Musik, Theater und Medien Hannover",de_hmth,1900-01-01,0
SRH Wilhelm Löhe Hochschule,de_wlh,1900-01-01,0
Hochschule für Musik und Theater Hamburg,de_hfmt,1900-01-01,0
Evangelische Hochschule für angewandte Wissenschaften - Evangelische Fachhochschule Nürnberg,de_evhn,1900-01-01,0
bbw Hochschule,de_bbw,1900-01-01,0
Karlshochschule International University - staatlich anerkannte Hochschule der Karlshochschule gemeinnützige GmbH Karlsruhe,de_kuk,1900-01-01,0
Kühne Logistics University - Wissenschaftliche Hochschule für Logistik und Unternehmensführung,de_klu,1900-01-01,0
Berlin International University of Applied Sciences,de_biua,1900-01-01,0
Hochschule für Musik Detmold,de_hfmd,1900-01-01,0
Hochschule Clara Hoffbauer (HCHP) - University of Applied Sciences,de_fchp,1900-01-01,0
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,de_hmdks,1900-01-01,0
Evangelische Hochschule Darmstadt (staatlich anerkannt)  Kirchliche Körperschaft des öffentlichen Rechts,de_ehd,1900-01-01,0
Fliedner Fachhochschule Düsseldorf,de_ffhd,1900-01-01,0
Kommunale Hochschule für Verwaltung in Niedersachsen,de_khvh,1900-01-01,0
Theologische Fakultät Trier,de_tft,1900-01-01,0
Medizinische Hochschule Brandenburg Theodor Fontane,de_mhb,1900-01-01,0
"Kunstakademie Münster, Hochschule für Bildende Künste",de_kam,1900-01-01,0
Katholische Hochschule Nordrhein-Westfalen - Catholic University of Applied Sciences,de_khnw,1900-01-01,0
Fachhochschule für Sport und Management Potsdam,de_fhsmp,1900-01-01,0
BSP Business and Law School - Hochschule für Management und Recht,de_bsp,1900-01-01,0
Hochschule für Bildende Künste Hamburg,de_hfbk,1900-01-01,0
"Hochschule für Künste im Sozialen, Ottersberg",de_hks,1900-01-01,0
Hochschule für Künste Bremen,de_hfkb,1900-01-01,0
Hochschule für Musik Karlsruhe,de_hfmk,1900-01-01,0
Hochschule für Jüdische Studien Heidelberg,de_hfjs,1900-01-01,0
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,de_hmdkf,1900-01-01,0
ESMT European School of Management and Technology,de_esmt,1900-01-01,0
Munich Business School - Staatlich anerkannte private Fachhochschule,de_mbs,1900-01-01,0
Kunsthochschule für Medien Köln,de_khmk,1900-01-01,0
Frankfurt School of Finance & Management,de_fsfm,1900-01-01,0
Staatliche Hochschule für Gestaltung Karlsruhe,de_hfgk,1900-01-01,0
Staatliche Hochschule für Musik Trossingen,de_mht,1900-01-01,0
Europa-Universität Viadrina Frankfurt (Oder),de_uff,1900-01-01,0
Barenboim-Said Akademie,de_bsa,1900-01-01,0
SRH Hochschule für Gesundheit,de_srh,1900-01-01,0
Hochschule für Musik und Theater Rostock,de_hmtr,1900-01-01,0
"Europäische Fachhochschule Rhein/Erft, european university of applied sciences",de_eufh,1900-01-01,0
Akademie der Bildenden Künste Nürnberg,de_adbkn,1900-01-01,0
Steinbeis Hochschule,de_shb,1900-01-01,0
Psychologische Hochschule Berlin (PHB),de_phb,1900-01-01,0
International Psychoanalytic University Berlin,de_ipu,1900-01-01,0
CVJM-Hochschule,de_cvjm,1900-01-01,0
weißensee kunsthochschule berlin,de_kbw,1900-01-01,0
Medical School Berlin - Hochschule für Gesundheit und Medizin (MSB),de_msb,1900-01-01,0
Provadis School of International Management and Technology,de_phmt,1900-01-01,0
Hochschule für Öffentliche Verwaltung Bremen,de_hfö,1900-01-01,0
"Evangelische Hochschule Freiburg, staatlich anerkannte Hochschule der Evangelischen Landeskirche in Baden",de_ehf,1900-01-01,0
Hochschule für öffentliche Verwaltung Rheinland-Pfalz,de_hoevrp,1900-01-01,0
Theologische Fakultät Paderborn,de_tfp,1900-01-01,0
VWA-Hochschule für berufsbegleitendes Studium,de_vwa,1900-01-01,0
Hochschule der Deutschen Bundesbank,de_hdb,1900-01-01,0
Hochschule für Kommunikation und Gestaltung,de_hkg,1900-01-01,0
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,de_hvfl,1900-01-01,0
Hochschule für Musik Freiburg im Breisgau,de_hmf,1900-01-01,0
Hochschule des Bundes für öffentliche Verwaltung,de_hsb,1900-01-01,0
"Hochschule für öffentliche Verwaltung und Rechtspflege (FH), Fortbildungszentrum des Freistaates Sachsen (HSF)",de_hsms,1900-01-01,0
Fachhochschule für Verwaltung und Dienstleistung in Schleswig-Holstein,de_fvd,1900-01-01,0
Fachhochschule der Wirtschaft,de_fhdw,1900-01-01,0
Fachhochschule der Verwaltung des Saarlandes,de_fhsv,1900-01-01,0
Hochschule für den öffentlichen Dienst in Bayern,de_hfod,1900-01-01,0
Archivschule Marburg – Hochschule für Archivwissenschaft,de_am,1900-01-01,0
Stiftung Tierärztliche Hochschule Hannover,de_thh,1900-01-01,0
hochschule 21,de_hbu,1900-01-01,0
Staatliche Akademie der Bildenden Künste Stuttgart,de_sabk,1900-01-01,0
"Bucerius Law School, Hochschule für Rechtswissenschaft",de_bls,1900-01-01,0
Leibniz-Fachhochschule,de_lfhh,1900-01-01,0
HSBA Hamburg School of Business Administration,de_hsba,1900-01-01,0
Theologische Hochschule Elstal,de_the,1900-01-01,0
Hochschule für Schauspielkunst Ernst Busch,de_hfs,1900-01-01,0
Robert-Schumann-Hochschule Düsseldorf,de_rshd,1900-01-01,0
Evangelische Hochschule für Kirchenmusik,de_ehkh,1900-01-01,0
EBZ Business School - University of Applied Sciences,de_ezb,1900-01-01,0
Hochschule der bildenden Künste (HBK) Essen,de_hbke,1900-01-01,0
Hessische Hochschule für öffentliches Management und Sicherheit,de_hhp,1900-01-01,0
Deutsche Hochschule für Prävention und Gesundheitsmanagement GmbH,de_dhgp,1900-01-01,0
Freie Theologische Hochschule Gießen,de_fth,1900-01-01,0
Hochschule für Finanzen NRW,de_finnrw,1900-01-01,0
Kirchliche Hochschule Wuppertal,de_khwb,1900-01-01,0
Hochschule für Finanzen Rheinland-Pfalz,de_fff,1900-01-01,0
Hessische Hochschule für Finanzen und Rechtspflege Rotenburg a.d. Fulda,de_hhfr,1900-01-01,0
Fachhochschule der Polizei Brandenburg,de_hpolbb,1900-01-01,0
Norddeutsche Akademie für Finanzen und Steuerrecht,de_noa,1900-01-01,0
Thüringer Fachhochschule für öffentliche Verwaltung,de_vfhs,1900-01-01,0
Hochschule der Polizei Rheinland-Pfalz,de_polrlp,1900-01-01,0
Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg,de_hfkt,1900-01-01,0
Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen,de_fhov,1900-01-01,0
Akademie der Polizei Hamburg,de_polhh,1900-01-01,0
Fachhochschule Polizei Sachsen-Anhalt,de_fhp,1900-01-01,0
Hochschule der Sächsischen Polizei (FH),de_hpolsn,1900-01-01,0
"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg-Vorpommern",de_fhoepr,1900-01-01,0
Hochschule für Polizei Baden-Württemberg,de_hfpolbw,1900-01-01,0
Fachhochschule für Rechtspflege Nordrhein-Westfalen,de_fhr,1900-01-01,0
Deutsche Hochschule der Polizei,de_dhpol,1900-01-01,0
Norddeutsche Hochschule für Rechtspflege - Niedersachsen,de_hrn,1900-01-01,0
Universität Bayreuth,de_bt,2017-10-19,11924
Kölner Hochschule für Katholische Theologie (KHKT),de_pth,1900-01-01,0
Augustana-Hochschule Neuendettelsau,de_ahn,1900-01-01,0
Hochschule für angewandte Wissenschaften Weihenstephan-Triesdorf,de_hswt,1900-01-01,5692
Theologische Hochschule Friedensau,de_thhf,2021-05-11,224
Technische Universität Bergakademie Freiberg,de_tubf,2020-05-22,4383
Technische Universität München,de_tum,1900-01-01,54575
"Hochschule Heilbronn, Technik, Wirtschaft, Informatik",de_hshn,2025-07-01,6609
"Fachhochschule Westküste, Hochschule für Wirtschaft und Technik",de_fhwk,2025-07-01,1379
Hochschule für Technik und Wirtschaft des Saarlandes,de_htws,2026-01-01,6028
Ernst-Abbe-Hochschule Jena - University of Applied Sciences,de_eah,2026-03-01,4052
